"Title","Content","Rating"
"Only good in episodes 1 and 2","Initially I was very interested in this series after starting to watch the first and second episodes, then after entering the third episode and so on until the end of this series the plot was too slow. I tried to watch until the end episode after episode but I couldn't enjoy it as much as I enjoyed the first and second episodes, For those who don't like watching shows with unclear endings, it's better if you don't watch this series at all because it is certain that there will be no continuity. I'm surprised why this series can get such a high rating, I personally think it deserves a 6 out of 10.",10
"Only first three","I've watched it from the first to the 7th episode, and its quality downgrades on every new episode. Not gonna lie the first three episodes were very promising, the characters were very talented and well suited for their roles. But subsequent to these first three eps, the series started to become kinda ""Mexican drama series"", no story development, characters were just a vessel to reach the estimated screenplay timeout and repetitive ideas like ""Blackthorn kept asking for his ship back like kid"". Not only this but also you don't have emotions to the characters like getting sad or at least feeling something, because all they were doing is having sex and living their daily lives.What a wasted potentials!",10
"Just Epic","Epic is the Best Word to describe this series. Sanada-Samas Best Role ever! This series is rich and deep on culture. It plays wonderful wirh two clashibg culturrs, where the main Actors learn from each other. The situations and mimic of Sanada-Sama is from my point of view brilliant! Also to menton, that in the making of, he truly stated the meaning of the series as Actor and his first Producer Role at the same time. You can hobor work and dedication with watching this series. You won't be dissapointed. I would like to state, that this series is on a level with Game of Thrones in terms of quality! (if you want to conpare motion picture quality, not content).",10
"A series that no one asked for but everyone needs to see.","I was simply not expecting this piece of art, an amazing TV show in the 17th century with a Japan little discovered by the world, it leads us to excellent performances with very well-made costumes.The dialogues are great, you really feel immersed in the TV show from chapter one, normally I wouldn't give a 10 but really from the first chapter you are absorbed by the story and how the main character will develop.I can not recommend Shoung enough, is the best show I have seen in a while, it has everything but what I loved the most was the development of the characters is just amazingA series that no one asked for but everyone needs to see.",9
"Stunning","Absolutely breathtaking. The cinematography is purposeful as well as beautiful; nothing is superfluous. The performers are, without exception, masters of their craft. No one flounders. They delivery monologues with a look. Every.single.one of them soars. I havent read the book or seen the 1980s film so I came into this blind and was swept away.Perhaps the most surprising thing about such a sweeping epic is that it DOESNT feel grand. It's rich and detailed but nothing feels overwrought or dramatic in an unnecessary way. Everything feels graceful.I'll toss out there that the treatment of women in this series is also incredible; nuanced, strong, and unapologetic.Yes you're going to need to read subtitles, but if that's not normally your thing, it's absolutely worth it.",10
"A Historically Captivating Masterpiece","I am very skeptical about eastern films but this principle is soon to be altered after seeing Shogun. I believe this latest historically inspired genre brings more elating and electrifying feelings behind the screens. It starts by enjoying the captivating sound mix and background score which together ripples the film's frequency to scintilate a purposeful masterpiece. The historical essence portrayed perfectly by precise costumes and well prepared landscapes drive the desire to travel back in time. Perphaps it is the motionary Osaka that wakes the joy of wanting to belong in the past. I see this film to be well written, acted and produced to meet the needs of historical drama lovers just like myself, and I can boldly put on record here that this is the best Japanese themed movie ever made on screen. There is no hiding the fact that Shogun is a must watch piece if you call yourself a movie lover!",10
"Great show! Very Truncated.","TLDR: The show is awesome. The music, costuming, and sets are all top notch. The cinematography is breathtaking, the acting: stupendous. The writers have done VERY well with what they were clearly told to do: squeeze a 428,000 word epic into six, one-hour long TV episodes. They did very well and delivered a fantastic Cliffs Notes version of the novel. If the showrunner(s) had allowed them to tell the entire story, I would have given this a 10 instead of an 8.I read Shogun, by James Clavell, because it came highly recommended and because I considered it a challenge: I am not used to reading books that are quite that long. I fell in love with it. It is such a beautiful love letter from a Westerner to Japan. I just wish the show had taken on the monumental task of telling the entire story. One of the reasons the book is so long is that it takes quite a long time for a Westerner to learn the ins and outs of a culture as complicated and nuanced as feudal Japan. It would have been so wonderful to see the entire novel in its rich fullness played out with the level of excellence achieved in this show.",8
"The captive has a voice","I enjoyed watching this show episode by episode and I knew it needs a season two more than any other show I have watched. I do fear that the story could burn itself out and leave a lame stale taste in the audience if the writers try to extend the series for too long. But, in terms of screening, the show is intense with Japanese war lore decorating the grips fantastic. The communication between the foreign and the Japanese is well given making the story more full of flavor with a entertaining edge rather than a busted language barrier. The tension between the characters is surreal which gives the audience a sense that the story is actually happening rather than a scripted play. If your into the culture of the samurai or Japanese war cultural history, this is a must watch. I hope season two is just as gripping.",9
"In a league of its own","I am currently reading Japanese book Musashi by Eijo Yoshikawa. It is about the life and philosophy of 17th century Samurai named Miyamoto Musashi. The portrayal of Japan from that era and its rich, detailed culture are certainly noteworthy. Musashi and Shogun are 2 most famous tomes describing Japan from that era. Hence I was very curious to see the TV adaptation.The show deserves all the praise it is getting. The cinematography, acting, writing, soundtrack and pacing of story are all impeccable. The character of Mariko-sama is perhaps the best development of a female protagonist I have seen in a long time. Anna deserves all the awards that she is bound to get for this role.The translation of dialogues is also an integral part of the story. We get to see both Japanese dialogues and then see how it is being translated in English by the concerned character. How an interpreter can try to bridge the gap between 2 distant cultures is fascinating to watch.Last but not the least, the poetry in the show is very thoughtful. I mention my most favourite dialogue here,
""Accepting death isn't surrender. Flowers are only flowers because they fall.""",10
"Absolutely brilliant","I finished the new Shogun tonight and I got to say..It's magnificent.When I was a kid, the original Shogun adaptation was my first introduction to Japan and since then I really fell in love with that culture.I went in very reluctantly into watching the new one, but now that I'm done, I think that it might even be better, or at least even.There is spiritual depth in Shogun 2024, and also great depth of characters. There is hidden meaning to all of the action.The depictions of Mariko and Yabushige are especially great. Not to mention, the cast is made up out of some of the greatest Japanese actors to ever perform.I very highly recommend it.",10
"Disappointed.","We watched Shogun and were really excited about it. Especially after all these good recommendations and after it was compared to game of thrones (we are really big fans of GoT).But to be honest we can't understand the comparison to Game of Thrones or the hype about shogun.The first episode was good and promising, but the series simply lost more and more per episode. It was very long and unfortunately nothing really happened. In episode 8, a beautiful arc of tension was built up again that made us confident for the finale. However, the last episode was a pure failure. In the end, we were really disappointed with the series because we simply hoped for more. And it is definitely not comparable with Game of Thrones.",6
"Last episode felt like an anti-climax","Was decent until the last episode.I understand that it is based on the book and that even showing the battle wasn't the end of the world although it could have been a spectacular reconstruction of a battle that has rarely been depicted in film or media.The disappointing thing was not knowing what happens to the main protagonist Blackthorne. If you want to know what happens to the Japanese characters then that isn't too hard as it follows the historical timeline somewhat. However Blackthorne is fictional and it feels like the whole series is built to bring you close to the character before dumping it right at the end with no end outcome for him other than pulling a boat out of the water that may or may not be repeatedly sunk by his overlord.Unless there is a second series that could show the battle but more importantly provide closure for Blackthorne as a character I feel that the series is left undersold by a weak last episode.",4
"Shogun could be the series of 2024","I have watched the original series many times, as own on DVD, 2 episodes in and it is a very good show, so far that don't seem to have simplified the story, I also love that they have correct languages and added subtitles so you can hear the wonderful sounding Japanese where appropriate.I am looking forward to the rest of the series as the start of the show has real promise and the cast fit the show well, there are also the right level of background cast to mak it feel like a living place.My only gripe so far is the clothes and scenery look excellent but there is a blur or out of focus at the edges quite often.",10
"Captivating","I had no interest in watching this series and initially didn't watch. One night I was surfing and came across the first two episodes being aired and although I didn't plan on watching I found myself completely drawn into the story. I remember watching the 1980 version with Richard Chamberlain which was good but this one is superior so far. I adore Hiroyuki Sanada and I think it's his presence and acting skill that gives this version a different, more authentic feel. After watching the two episodes I found another film with Sanada, The Last Samurai, and was completely absorbed. He's a very under-rated actor. I hope this new series gives him the exposure and recognition he deserves.",9
"Might be the best show of the year","I know it's far too early to say this, but based off the first two episodes alone this seems like an absolute hit.The dialogue is captivating, the acting phenomenal so far (Hiroyuki Sanada is an instant crowd fave), and the characters are quite interesting. I appreciate that the characters have been presented as morally gray, and that they don't insult the viewers intelligence by spelling out obvious character details like Blackthornes need to adapt to this new culture to survive in this world, or the many intricate political plots driving the show forward. Any point of confusion is cleared out tastefully within the dialogue and it's easy to follow.I have not yet read the book, nor am I an expert on this period of Japanese history, but from what I do know, it seems fairly historically accurate in its portrayal of costumes, Japanese philosophy, and the intricacies in political rivalries. In the case that you are not aware of the historical context, the show even released a mini documentary episode a week prior to the first episodes which contained all the relevant background you might need to understand the show. This is something I very much appreciate because I like to dig deeper into the history or lore of every show or movie that I like, it makes the entire experience much more immersive.I don't understand the criticism it's been getting on the basis of being mostly in Japanese... considering it is set in Japan pre globalization I thought that would be a given. It would actually be unrealistic for characters to BE speaking in english, but I digress. I get that reading subtitles is not everyone's cup of tea but i'd much rather do that than have badly dubbed or unrealistic dialogue which would break the immersion for me.I'm a little apprehensive about the pacing for the rest of the show, although it was perfectly fine for the first two episodes. This is simply because i'm not entirely sure how they'll manage to fit all the details in just another 8 episodes. I really hope they finish on a satisfying note, or with enough of an open ending to actually justify a second season.This definitely wasn't on my radar for the year, I hadn't even heard of the show until it dropped yesterday but since then i've already purchased the book so i can read it when i'm done watching this. It really is just that incredible.If you're a fan of historical drama, or liked shows such as Black Sails and Blue eyed Samurai, this is for you. I highly recommend this show, and i'll be seated for the rest of it to see how it plays out. If the quality remains consistent to the first two episodes, it has the potential to be the best show of the year.",9
"Been waiting.............","I have been waiting for this since i watched the trailer.I am old enough to remember the original series with Richard Chamberlain in the 80's.Never read the book so cannot say if this version or the 80's one is true to it but from the first episode i am sucked in.The scenery/cgi and period costumes are great and i like that the Japanese are speaking Japanese with subtitles as i enjoy things in their original languages. Shame the Portugese speak English but its a minor thing.The lead actors are great(I especially enjoy Hiroyuki Sanada's work)and the English cursing always amuses my childish self.Anyway i am looking forwrd to the rest of the episodes.",9
"Accurate when speaking Japanese, but, where's the Portuguese?","The show is amazing. Beautiful, but, is so disappointing see the characters speaking in Japanese asking for Portuguese interpreters and what you hear is English. So, if you want to be accurate, putting Japanese characters speaking Japanese, why not do the same with Portuguese characters? Since the show targets to be so well portrayed in the particular period, the lack of Portuguese language is disrespectful. Or, should everyone speaks English and simplified the plot related to language barriers. Unfortunately, as a Portuguese speaker, is very strange hearing ""Portuguese"" in English... And I'll not mention the Spanish speaking ""Spanish""... So, it hit the post of great, but still worth to watch it ( and it's way easier if you don't speak Portuguese at all).",10
"A Masterpiece of Authenticity and Emotion","FX's Shogun is an absolute triumph, delivering a richly detailed and emotionally resonant adaptation of James Clavell's epic novel. From the first episode, I was completely immersed in the world of feudal Japan, thanks to the show's dedication to authenticity and high-quality production values.The characters are exceptionally well-developed, and I found myself deeply caring about their journeys. John Blackthorne, portrayed by Cosmo Jarvis, is a standout with his compelling transformation from a shipwrecked sailor to a respected samurai. His interactions with Mariko (Anna Sawai) and Toranaga (Hiroyuki Sanada) are particularly noteworthy, bringing depth and nuance to the narrative. Mariko, especially, is the heart of the series, her grace and strength making her a beacon of light throughout the story. The supporting characters, such as Yabushige (Tadanobu Asano) and Fuji (Moeka Hoshi), also add rich layers to the storyline, ensuring every scene is engaging and meaningful.One of my favorite scenes is when Blackthorne is first dressed in a kimono. This moment is both humorous and endearing, highlighting his initial naivety and the cultural gap he must bridge. His awkwardness and the reactions of those around him, especially when he gets a playful slap for trying to adjust the kimono, add a charming human touch to the grand narrative.The scene where Blackthorne first meets Mariko and Toranaga in episode 2 is another standout moment. The tension is palpable as Blackthorne, unfamiliar with the local customs and power dynamics, navigates this crucial encounter. The chemistry between the characters is immediate, laying the groundwork for the intricate relationships that develop throughout the series.A particularly fascinating scene is when Toranaga asks Blackthorne to explain the world map. This moment perfectly encapsulates the cultural exchange and mutual curiosity that underpin much of the series. Blackthorne's explanation of the map, and Toranaga's keen interest, highlight the strategic and intellectual dimensions of their alliance.The series excels not just in its character interactions but also in its visual storytelling. The cinematography is breathtaking, with sweeping landscapes and meticulous attention to historical detail. The production design, costumes, and score all contribute to a vivid and immersive viewing experience. The dialogue, rich with context and subtext, makes every conversation as captivating as the action scenes, if not more so.Shogun handles complex themes such as cultural clash, honor, and survival with sophistication. It avoids the pitfalls of orientalism by giving equal weight to Japanese perspectives, making the story feel balanced and respectful. The political machinations and personal struggles are depicted with a maturity and depth that elevate the series beyond mere spectacle.In conclusion, Shogun is an extraordinary series that brings Clavell's vision to life with authenticity and emotional power. The characters, the setting, and the story all come together to create a truly unforgettable viewing experience. This show is a must-watch for anyone who appreciates high-quality historical dramas.",9
"The New GOT? We'll see","First of all I would like to mention that I was skeptical when I first started watching this show simply because Hiroyuki Sanada has been casted as the japanese dude in any and all hollywood movies and shows. Is it really that difficult to find japanese talent? But after watching the first episode I was baffled by the quality of production of this show. Everything from Acting to set to costumes, everything was top notch and I was immersed in feudal japan. This show kind of reminded me of Shogun World from HBO TV series Westworld also featuring Hiroyuki Sanada as Main Japanese Guy, although he was a samurai in that one i believe.",10
"Great show. More please","Just finished the last episode of Shogun - what a joy.The whole thing I found to be superb. The casting, production and overall feel of the show was excellent
I was taken back to feudal Japan and ancient customs.The only regret is that I've heard there won't be more.Hopefully they'll film the next book in the series Tai-Pan. I realise the setting and cast would be different but think the novels would be do well as further adaptations.I think it's probably my favourite show of the year and easy to see where the moneys be spent. The acting was great and Cosmo Jarvis could double as Richard Burtons voice any day.Don't miss it.",8
"season 1 without war","I think Japanese culture is always interesting and attractive. Thanks to the shogun, we had the opportunity to get to know their culture closely. The clothes in the series were so classy. I admired the clothes of the nobles. Their battle armor was legendary. Osaka city and the castle was fine too.I liked the tea house scene and gift to Blacthorne scene. I was confused as to who the gift was.We watched to many seppuku scenes , executions , a little sword fight in Osaka but I was expecting a battle in season finale. Instead, we learned the plans of Toranaga, who has been planning all season.I'm excitedly waiting for the 2nd season and The great battle of 5 armies.",6
"Not the masterpiece that I was promised...","This show has good points. The photography is correct, the music too, the historical respect probably too, with attention to the detail of this civilization and this very particular era. But I still find the series quite disappointing.If i really want to be honest, Shogun is a bit...boring. Far from me the idea that a series must have a lot of action to endorphin the hollows of the mind, but here I still expected much better, Shogun is a bit of an empty shell, a lot of filler and length painful.When we land in the middle of a story of an internal conflict that threatens the whole of Japan, with the 2 most powerful clans in the country, overtones of war and repeated battles throughout, we expect that it ends up breaking, Seeing the art of samurai war.But actually no. Rather, we see a series of political maneuvers, cunning or not, mixed with the very atypical reaction that the protagonists of the series have, and their overinflated honor, just like the proportions that it takes and which can seem a bit ridiculous, seen from our perspective.I found the acting quite decent, but I have a little trouble with English, I don't know if he's supposed to play this idiotic, crude and quite apathetic character, but if that's the case he plays well, because he is difficult to like.Some are comparing Shogun to Game of thrones... Lett me be clear, it's not.",5
"Cosmo Jarvis can't act","Started interesting, with beautiful visuals all the way to the end.All the cast did a great job, great performances.Except for the lead, Cosmo Jarvis. Which is a shame.He has mainly one facial expression, just staring, or shouting sometimes.Like when Mariko was fighting the guards, and he was watching from above, with elbows resting on the wall, clasped hands. What the hell was that?Everybody else around was very tense, but he was looking down like her life was not in danger.The series got more and more boring, partly because of the back and forth translations, having to listen to everything twice.The ending was underwhelming.",10
"Awful show","I reserved my judgment during the first 2-3 episodes because I was willing to give it the benefit of the doubt after seeing the various trailers and articles. Dropped it half-way through episode 4 when I started questioning why I was watching this meandering fanfic.The political/religious angle is very poorly fleshed out and overly simplistic. The writing and acting is at times unbelievably cringe.There are a few good performances but they are not enough to salvage the show.Does the show look good? Yeah but that's every other show in 2024.Is the show hollow and devoid of depth? Yeah just like every other show in 2024.",9
"Enjoyed this so much I watched it twice","I enjoyed this mesmerizing and exquisite production, with its amazing cast and meticulous attention to detail, so much that one week after I finished watching it I watched it all over again.My rewatch was partly motivated by the fact that it is hard to take in all the names, characters, and intrigues the first time around, so to allay some of my residual confusion I rewatched each episode, especially the first, very carefully. But my rewatch was also motivated by the sheer enjoyment I had of the richness of the content.Then after my second viewing of the series, I watched the final 17 minutes of the series for a third time, to savor the wonderfully poignant and incisive summing-up and closure those last 17 minutes provide.Lastly, I'd like to say a few words about my favorite main actors in the series. Of course, the stand-outs are Hiroyuki Sanada as the masterful and intriguing Lord Toranaga, and Anna Sawai as the exquisite female lead Mariko -- both have rightfully been nominated for Best Actor/Actress Emmy awards. Particularly on my second viewing, I was also extremely impressed with Tadanobu Asano as Kashigi Yabushige -- his frequent grunts and groans and tic-like movements are wonderfully apt and his performance is perfect. Lastly, a shout-out to star Cosmo Jarvis as John Blackthorne -- too often unnecessarily and unwisely compared to Richard Chamberlain -- I found Jarvis quite appealing and quite relatable, and his wonderful voice, accent, and inflection remind me 100% of Richard Burton. Well cast.In sum, I urge everyone to check out this miniseries. The 10 episodes cover the entire novel and end where the novel ends. If you don't have a subscription to Hulu or Disney+, then take out a one-month no-ad subscription to Hulu (that's what I did) -- it is well worth it and I daresay you will not be disappointed,",10
"Very realistic account so far worth a watch","Some Americans are complaining about the use of English to describe discussions in Portuguese. This is the norm for many period shows. English in an English accent is typically used.The show obviously needs to skip parts, but the tension is really described in both books much better, , Clavels Shogun and the original Pilot's Samurai William (a must read). Almost 500,000 Japanese had converted to Christianity and the Portuguese had been wrecking homogeneity of Japanese culture. Almost 30% of the Daimiyos had converted and had dual loyalties. They were causing havoc in Japan.In Samurai William the politics were even better described even between Spanish and Portuguese. The pope had given Japan to Portugal but the Spanish using the earlier Tordesilas treaty onsidered Japan theirs too.Lastly the show does miss the mastery of languages William/ John is described as knowing in the book. Fluent in English, Dutch, Portuguese and later mastery of Japanese.The acting of the Japanese characters is top notch , the European characters well seems to be a bit over the top.",9
"Really enjoyed it","I didn't read the book, so I can only judge it based on the S1. The pacing in early episodes is quite slow but if it was faster, I think it would miss some of the nuances.-Story is good, smart, and has lots of depth
-Acting is very good too. Mariko, especially at the latter episodes was nothing short of amazing. Overall, the restraint the actors acted with, to show the depth of their culture was great. The parts about 2 hearts are so well done.-Music and visuals and costumes also well done.Overall, I really enjoyed it and completely did not expect how last 3 episodes turned out. I could sorta predict the ending, but nevertheless, how it was unveiled, was so classy.10/10 for me.",9
"Meticulously crafted. Best show of 2024 so far.","Shogun is a meticulously crafted piece, with its writers, showrunners, performers and, of course, James Clavell's source novel all playing their part.Visually it is stunning, from beautiful vistas to the recreated city of 17th century Osaka; from the samurai armour to the fishermen's robes.Yet this is much more than style. The characters are vividly brought alive. There are lots of them, and it may take the viewer a couple of episodes to keep track of the various Japanese Lords and ladies, and their complex fealty, animosity, their loyalty and their duplicity.Among the many star turns, perhaps the standout performances are from Anna Sawai as Mariko and Tadanobu Asano as Yabishige. Sawai expresses so much depth through stillness, a glance, a pause. She is in many ways the heart of the story and an incredible balance of outcast and influence. Asano stands our for other reasons: his expressive mannerisms, his scheming and his doubts.A word too for the score from Atticus Ross, Leopold Ross and Nick Chuba. Like much in this show, it sits in balance- dramatic when merited, at other times subtle.A glorious show, unlike much else these days. For every familiar seeming beat there is a surprising turn, yet it all comes together with little cliche.Best show of 2024 so far.",9
"The series we needed!","After watching the first two episodes, I was amazed by this series and I cannot wait for the new episode to arrive. Shogun reminds me of Marco Polo, which was a really great series a few years ago that was unfortunately canceled after the second season. A big plus is that the series is in Japanese. On the other hand, I would just wish the Portuguese and Jesuits would speak Portuguese, but English is still acceptable. I like the main actors as they seem very suitable for their roles. So far, the series can relate to the 1980 Shogun, but even if the storyline changes, I have no doubts that it will live up to our expectations.",8
"Hit the target audience","I've think the show is amazing, and I'm thoroughly enjoying it. But when it first started with only two episodes out, I couldn't help but feel the need to tell some people to pipe down a bit. Calling it next Game of Thrones already. Since GOT ended, there's been a flood of shows and movies being dubbed as the new Game of Thrones. Sometimes it's Game of Thrones with pirates like ""Black Sails"", or Game of Thrones in space, as seen in ""Dune"" and Apple TV's ""Foundation."" Other times, shows like ""Wheel of Time"" and ""The Witcher"" received comparisons that eventually died down. Don't get me wrong, I actually like all of those, but I'm just a bit tired of the ""this is the new GOT!!"" hype.But this show is actually quite good and refreshingly different, especially since it's set in Japan. Starting to admire Anna Sawai, having seen her in Monarch Legacy and now in Shogun. Apparently, she was also in F9. The show delves into a lot of Japanese lore, like beliefs and samurai culture, although I can't vouch for its accuracy. I've learned a lot about Japanese culture, particularly their dedication to rituals and customs. Hiroyuki Sanada seems to have a penchant for playing samurai or sword fighters: 47 Ronin (2013), John wick, bullet train, mortal combat, avengers endgame.Despite my reservations about calling it the next Game of Thrones, the show does have a strong political undertone, with different factions vying for power and the looming threat of civil war. Something small that I like was the show's title sequence.While the show is generally well-executed, it feels a bit odd to have the Japanese characters speaking Japanese and the Portuguese speaking Portuguese, yet having Portuguese dialogue in English lol. Japanese is subtitles. There are some things I might have missed explanations for, like the peculiar condition of Regent Ohno's skin.Many people compare it to Game of Thrones, but I find it more akin to Vikings, albeit less violent than expected. It leans more towards being a political drama at the moment, although there are hints of impending war. My only gripe is that it seems to shy away from on-screen violence, with many fights and deaths occurring off-screen. It's gory at times, but it teases so many epic battles and wars, and with one episode left, we still only get glimpses of them. Even if the last episode is just one epic battle sequence, I'll still feel the same.Now, I absolutely adore this show. It's a rare case, akin to ""Godzilla: Minus One,"" where the show/movie perfectly hits its target audience. ""Godzilla: Minus One"" was almost exclusively watched by fans of Godzilla and similar genres (myself included); everyone watching knows what to expect. I believe Shogun is predominantly being watched by its intended audience. Even though a show or movie can be amazing, it's very rare for it to receive purely positive reviews. And I think that's what's happening with Shogun - it's an amazing show mainly being watched by its target audience.",8
"A relatedness of belonging to the here-now - A treatsie in rising values","I am writing this section as I am experiencing the here-after, even though the here-now rears as the child of fifty. Ponder this question at will: has the abomination of the clear and sufficient stream of duration been enough for the child? This question is of a different tonal character than what has come before. The history of the English (let us call it that), the abolished and intricate web of flesh, has long since been present in the philosophical inquiry of the great Brentano. I will not be lengthy in this matter, but would withdraw any statements about the ""Sho gun"" (as it is correctly spelled!) and the ""Sho gin"" (as is customary for the apparition). Furthermore, this has been explained as a tower, a rising value of effort that encapsulates three different movements (again this magic number!). The way the English, or hereafter simply Man, adapts the here-now as a junction of positions is never quite clear. Nonetheless, returning to this ""review"" 400 days later, the notion appears sufficient.",9
"Not convinced by Blackthorne","Blackthorne came across pretty limited in his acting and seemed to be bumbling nonsense half the time with a constant look of bewilderment on his face. This made sense the first episode as the lad was shipwrecked after all, but after a promising start he just stagnated with the same go to acting techniques.A pity as the show has a lot of really points, such as scene settings, costumes, customs, etc. But if your main character isn't firing..I thought more of Japan life and culture could have been portrayed outside of quite a narrow militaristic prism which the show focused on, through for example some other character side plots. These would have complimented the show a bit more.",7
"Father please forgive them","Cause they dont know what they are ratingYes its a great story , we all think that - and I love the story , the book is amazing, the mini serie from the 80is is fabolous, but this,,,, abomination,,, is an insult , I looked forward to see a modern version, new thinking and todays effects , instead it came out a fast sloppy written low budget story with acting reminding schooltheatreA guy at my work said to me "" oh you should see this serie called shogun, they have swords and sht, its so good "" so I said ok you should see the original from the 80is instead,, and he looked at me and said "" öhh do they have swords also "" so when you wonder who put 10 on this serie,,, guys like thisThe story is great, but this version is garbage and just look on the original instead , I know I step on toes and swear in the church but I got so tired on people like this and dont know how much better this actually is.",3
"The best series of the year?","Quality show. Excellent acting performances all-round.CGI isn't outstanding, but used discreetly and sparingly. There's also some unnecessary ""girlbossification"", but not too insulting. It just reduces the Mariko character somewhat.They cut back on the cringe, though, and the sappy romance too.The main gripe is that Blackthorne is even more meaningless than before. He functions essentially as a narrative device only in this one. An observer.The main stand out is definitely Tadanobu Asano. He lights up every scene he's in, and the last face he wears in the show... I swear I could see Kakihara again! Everyone's favourite psychopath :)",9
"Trust the ratings","I do not care about ads or previous makes and models of this show. I do not care about the inconsistencies with the Portuguese and English, that's crazy! Trust the high ratings, but you have to be into this genre of content. It's made for history lovers with good taste. The show is awesome, plain and simple. It is both captivating and inspiring, so if you came to be entertained then you came to the right place. Acting is so beyond phenomenal I don't remember the last time I was this hooked to a show and angry after every episode because I wanted more. It's very obvious this show was never even intended to be 100% historically accurate but it's so congruent to the factual narrative that it's just so damn good.",9
"Shogun is great tv, but not a 10","Not sure where all these 10's are coming from, Shogun is excellent television for sure, but the obvious heavy handed CGI takes me right out of the narrative a lot of time, and it's a shame. But such is big budget scifi and historical pieces these days. I don't remember seeing the previous iteration on television back in the 80's I think, but this one's got all the right ingredients, and I'm also not sure how faithful it is to the original source material. Seems like it's a blockbuster breakout hit which can only be a positive, but I'd rather see more practical sets and less CGI is all I'm saying.",8
"The book and history","The show, the plot porsuit the book and tale by James Clavell.But not in accurate way. I saw all the episodes, include number 4.I reed the book several times, and I saw the 1980's series.This show, again it is not accurate woth the book. But, I thin taht they try to be more exactly with the historic period and , after the end of the 4 episode tray to explain the events who actually hapend in the real history.So Lord Toranaga, or the caracter of Hiroyki Sanada is more similar to Tokuhawa Leyasu than the idea in rhe book.The complexity of this plot is superb than I expected. What next?",10
"Great miniserie that will divide opinions","The atmosphere in this one was perfect. It took me a few episodes to truly appreciate it, and i had some problems getting fully into it. I wasn't sure if Cosmo Jarvis was the right person for the role, or if it was about the character itself.Also in the beginning it had moments where I was thinking ""is this one of those shows which literally has no surprises, and all of the outcomes are very predictable, therefore boring"". Turned out that it was quite the opposite.Coming to the last episode I knew it is going to raise some eyebrows and leave some people disappointed. No great battles, we don't get to see and live the story till the end of times etc.But try to see this with any expectations and just try to enjoy it. Great story and great stories inside the main story, in it's beauty and sadness. It's not always about massive fighting scenes and adrenaline rushes, not always only the bad guys get killed.Thank you.",9
"Realy good TV show!","I didn't had big expectations, as almost every production in the last years is a crap. But ""Shogun"" made my day, and it did it big time! I have not read the book, but i've seen the original series in my childhood. It has good plot, it is visually realy good to wach. Some of the scenes that i remember are missing, but still, i understand the story now better. The only small downside is, it is all in Japanise and there are subtitles most of the time. However, this is not an issue at all so far. And most of all- the cast is great, especialy with Hiroyuki Sanada in the lead! There are also no external, forced and made up characters there.",10
"Utterly outstanding, few shows have reached these heights.","Absolutely astonishing and marvellous show; having read the book several times I was looking forward to this, but have been totally overwhelmed by precise way the show goes through the story and portrays the delicate character interaction.The sets and scenery are astounding and you are given a a sense of the beauty, sadness and futility of medieval Japan.The acting is incredible and Anna Sawai is absolutely perfect in portraying Mariko, one of the most complex characters in the book.Can't wait for the last episode. If this was a film it would fully deserve all the Oscars.Don't worry about the Japanese or the subtitles, it's just immense.",10
"Amazing drama!","I don't find this show particularly clever in many ways. But it brings to the stage the Japanese culture, which unfortunately isn't very well represented and explored. It's a bit poor and even clumsy, Honestly! It could have a better plot; a Portuguese cast and real church scenes would bring it to another level, enriching the whole show. I like the fact that it is spoken in Japanese, but let's get real: why on earth is Portuguese spoken in English? That is plain stupid, just unacceptable, particularly because the Portuguese got to Japan a lot before everyone else, and believe it or not, they founded Osaka. I just can't imagine the cultural shock between these two completely different worlds that is not even touched. The show surely has plenty of room to expand once Japan's culture is so vast! About the drama, well, the quality is absurdly huge and taken to an emotional state where everyone commits suicide for no reason, at least to the Western eyes. Again, another questionable production error because the scenes lack significant context. There is something universal about it, which is a highly irresistible romantic love between a woman shattered by her life who has indisputably zero reasons to keep living except for her deep sense of obligation to serve a higher purpose. The show is almost abridged to a stranger who somehow was able to navigate across the oceans in a period when routes were well-kept just to find a way to a very special woman's heart! I can't help you; I'm a romantic fool.",8
"Overrated and lacks soul","This is one of the most overrated shows in 2024. I started watching with no background on the novel or the first show, nor I had any high expectations. But episode after the other I lose more interest and push myself hard to keep watching just for the sake of closure.I generally like Sanada and enjoy his performance. And I love quality Japanese drama, especially the Samurai era. But sadly I couldn't find anything attention worthy in this show.The show lacks any kind of depth, real struggles, or quality surprises. At the contrary, it feels flat and hollow. It feels more like ""random"" than ""predictable"".I think that the real problem is the lack of a coherent plot that structures the show. Throughout the show, all events and characters feel like ""they're just there"", but no well structured plot that give you a reason to keep watchingOn a mildly positive node, Sanada's performance is good, so is Javris but to a lesser degree. Anna Saway starts well then she becomes a bit boring. Nikaido and Kouri are absolute cringe!It feels like a waste of time. Won't recommend it.",4
"Lots to love","I don't know enough about Japanese history to be able to comment on its accuracy, so this review is just about the entertainment aspect.Two episodes in and I'm hooked. I love the writing, casting, directing, cinematography, the plot(s), the balance of CGI/sets, soundtrack and pace. It's even made me want to go and learn about 17th Century Japan in detail.I have few criticisms of it, but if I were to pick a main one, then it would be the speed that some of the key players are introduced. Being the ignorant Westerner that I am, it's a bit of a struggle early doors to keep up with all the names and places.If you don't mind something that's, at times, a bit brutal and if you're better able than me to keep up with the names, then I think this is well worth a watch and highly recommended it.",9
